,Unnamed: 0,account,activity,bytes,checksum-adler,checksum-md5,dst-rse,dst-type,dst-url,duration,guid,name,previous-request-id,protocol,reason,request-id,scope,src-rse,src-type,src-url,started_at,submitted_at,tool-id,transfer-endpoint,transfer-id,transfer-link,transferred_at
531,531,,T0 Export,2621653064,297fabc7,,INFN-T1_DATATAPE,TAPE,srm://storm-fe.cr.cnaf.infn.it:8444/srm/managerv2?SFN=/atlas/atlasdatatape/data17_13TeV/RAW/other/data17_13TeV.00327057.physics_Main.daq.RAW/data17_13TeV.00327057.physics_Main.daq.RAW._lb0103._SFO-5._0004.data,85,,data17_13TeV.00327057.physics_Main.daq.RAW._lb0103._SFO-5._0004.data,,srm,,68fe3d177e9544c0b8168b9f2ec2d116,data17_13TeV,CERN-PROD_TZDISK,DISK,gsiftp://eosatlassftp.cern.ch:2811/eos/atlas/atlastier0/rucio/data17_13TeV/physics_Main/00327057/data17_13TeV.00327057.physics_Main.daq.RAW/data17_13TeV.00327057.physics_Main.daq.RAW._lb0103._SFO-5._0004.data,2017-06-18 00:57:39,2017-06-17 20:50:00,rucio-conveyor,https://fts3-test.gridpp.rl.ac.uk:8446,d2e8b569-fba3-5658-bbb2-9759615e5208,https://fts3-test.gridpp.rl.ac.uk:8449/fts3/ftsmon/#/job/d2e8b569-fba3-5658-bbb2-9759615e5208,2017-06-18 00:59:04
532,532,,Express,70489450,d9835623,,IN2P3-LAPP_DATADISK,DISK,srm://lapp-se01.in2p3.fr:8446/srm/managerv2?SFN=/dpm/in2p3.fr/home/atlas/atlasdatadisk/rucio/data16_13TeV/0f/c3/DAOD_MUON1.11508141._000003.pool.root.1,27,,DAOD_MUON1.11508141._000003.pool.root.1,,srm,,d49585697dd740a388b8a4c9053e8ced,data16_13TeV,NET2_DATADISK,DISK,srm://atlas.bu.edu:8443/srm/v2/server?SFN=/gpfs1/atlasdatadisk/rucio/data16_13TeV/0f/c3/DAOD_MUON1.11508141._000003.pool.root.1,2017-06-18 01:04:14,2017-06-18 01:03:49,rucio-conveyor,https://fts3-pilot.cern.ch:8446,29d412ba-e4e9-56fb-9c59-d5feea4ee48f,https://fts3-pilot.cern.ch:8449/fts3/ftsmon/#/job/29d412ba-e4e9-56fb-9c59-d5feea4ee48f,2017-06-18 01:04:41
533,533,,Express,943316,4e2df4ce,,INFN-T1_DATADISK,DISK,srm://storm-fe.cr.cnaf.infn.it:8444/srm/managerv2?SFN=/atlas/atlasdatadisk/rucio/data16_13TeV/f9/3f/DAOD_TOPQ2.11507791._000004.pool.root.1,5,,DAOD_TOPQ2.11507791._000004.pool.root.1,,srm,,1a09247cf95f4f058e2c9a7facfc32f4,data16_13TeV,IN2P3-CC_DATADISK,DISK,srm://ccsrm.in2p3.fr:8443/srm/managerv2?SFN=/pnfs/in2p3.fr/data/atlas/atlasdatadisk/rucio/data16_13TeV/f9/3f/DAOD_TOPQ2.11507791._000004.pool.root.1,2017-06-18 01:03:08,2017-06-18 01:03:06,rucio-conveyor,https://fts3-test.gridpp.rl.ac.uk:8446,2e3cdb22-646d-5a54-bc6e-7502484f13c8,https://fts3-test.gridpp.rl.ac.uk:8449/fts3/ftsmon/#/job/2e3cdb22-646d-5a54-bc6e-7502484f13c8,2017-06-18 01:03:13
534,534,,T0 Export,2621732716,d3f37241,,INFN-T1_DATATAPE,TAPE,srm://storm-fe.cr.cnaf.infn.it:8444/srm/managerv2?SFN=/atlas/atlasdatatape/data17_13TeV/RAW/other/data17_13TeV.00327057.physics_Main.daq.RAW/data17_13TeV.00327057.physics_Main.daq.RAW._lb0110._SFO-8._0003.data,812,,data17_13TeV.00327057.physics_Main.daq.RAW._lb0110._SFO-8._0003.data,,srm,,56c0daff547f4dc5a505159842a4190d,data17_13TeV,CERN-PROD_TZDISK,DISK,gsiftp://eosatlassftp.cern.ch:2811/eos/atlas/atlastier0/rucio/data17_13TeV/physics_Main/00327057/data17_13TeV.00327057.physics_Main.daq.RAW/data17_13TeV.00327057.physics_Main.daq.RAW._lb0110._SFO-8._0003.data,2017-06-18 00:51:52,2017-06-17 20:50:00,rucio-conveyor,https://fts3-test.gridpp.rl.ac.uk:8446,377bf26b-87c1-5ab5-8b9f-118a4ce6f82e,https://fts3-test.gridpp.rl.ac.uk:8449/fts3/ftsmon/#/job/377bf26b-87c1-5ab5-8b9f-118a4ce6f82e,2017-06-18 01:05:24
535,535,,Express,116740900,2b529619,,BNL-OSG2_DATADISK,DISK,srm://dcsrm.usatlas.bnl.gov:8443/srm/managerv2?SFN=/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/data16_13TeV/3d/01/DAOD_STDM4.11507766._000009.pool.root.1,11,,DAOD_STDM4.11507766._000009.pool.root.1,,srm,,a51dbf7d8ea04a4a9fba77e6960b1810,data16_13TeV,UKI-LT2-QMUL_DATADISK,DISK,srm://se03.esc.qmul.ac.uk:8444/srm/managerv2?SFN=/atlas/atlasdatadisk/rucio/data16_13TeV/3d/01/DAOD_STDM4.11507766._000009.pool.root.1,2017-06-18 01:05:06,2017-06-18 01:03:48,rucio-conveyor,https://fts.usatlas.bnl.gov:8446,e9e15eab-3868-583c-9489-06f5b769d76d,https://fts.usatlas.bnl.gov:8449/fts3/ftsmon/#/job/e9e15eab-3868-583c-9489-06f5b769d76d,2017-06-18 01:05:17
536,536,,Express,37808317,67f569df,,DESY-HH_DATADISK,DISK,srm://dcache-se-atlas.desy.de:8443/srm/managerv2?SFN=/pnfs/desy.de/atlas/dq2/atlasdatadisk/rucio/data16_13TeV/68/3d/DAOD_TOPQ2.11507761._000005.pool.root.1,2,,DAOD_TOPQ2.11507761._000005.pool.root.1,,srm,,38e39f80f83e49e6b2bf411309dcaef5,data16_13TeV,IN2P3-CC_DATADISK,DISK,srm://ccsrm.in2p3.fr:8443/srm/managerv2?SFN=/pnfs/in2p3.fr/data/atlas/atlasdatadisk/rucio/data16_13TeV/68/3d/DAOD_TOPQ2.11507761._000005.pool.root.1,2017-06-18 01:03:08,2017-06-18 01:03:05,rucio-conveyor,https://fts3.cern.ch:8446,0f5db7f9-c279-582f-8d37-db2d91544678,https://fts3.cern.ch:8449/fts3/ftsmon/#/job/0f5db7f9-c279-582f-8d37-db2d91544678,2017-06-18 01:03:10
537,537,,T0 Export,1289539801,69669354,,UKI-SOUTHGRID-OX-HEP_DATADISK,DISK,srm://t2se01.physics.ox.ac.uk:8446/srm/managerv2?SFN=/dpm/physics.ox.ac.uk/home/atlas/atlasdatadisk/rucio/data17_13TeV/d4/f4/data17_13TeV.00325558.physics_Main.merge.DESDM_MCP.f831_m1816._0472.1,65,,data17_13TeV.00325558.physics_Main.merge.DESDM_MCP.f831_m1816._0472.1,,srm,,687119daf88d4c5a885e9a7a95fc42d6,data17_13TeV,CERN-PROD_TZDISK,DISK,gsiftp://eosatlassftp.cern.ch:2811/eos/atlas/atlastier0/rucio/data17_13TeV/physics_Main/00325558/data17_13TeV.00325558.physics_Main.merge.DESDM_MCP.f831_m1816/data17_13TeV.00325558.physics_Main.merge.DESDM_MCP.f831_m1816._0472.1,2017-06-18 00:58:52,2017-06-18 00:54:05,rucio-conveyor,https://fts3-test.gridpp.rl.ac.uk:8446,bc0737ee-28c1-5f74-a765-c639b8294054,https://fts3-test.gridpp.rl.ac.uk:8449/fts3/ftsmon/#/job/bc0737ee-28c1-5f74-a765-c639b8294054,2017-06-18 00:59:57
538,538,,T0 Export,2621196712,bb7d131a,,INFN-T1_DATATAPE,TAPE,srm://storm-fe.cr.cnaf.infn.it:8444/srm/managerv2?SFN=/atlas/atlasdatatape/data17_13TeV/RAW/other/data17_13TeV.00327057.physics_Main.daq.RAW/data17_13TeV.00327057.physics_Main.daq.RAW._lb0107._SFO-3._0003.data,30,,data17_13TeV.00327057.physics_Main.daq.RAW._lb0107._SFO-3._0003.data,,srm,,c88c4307d9a94d0fb362a50360ff7a30,data17_13TeV,CERN-PROD_TZDISK,DISK,gsiftp://eosatlassftp.cern.ch:2811/eos/atlas/atlastier0/rucio/data17_13TeV/physics_Main/00327057/data17_13TeV.00327057.physics_Main.daq.RAW/data17_13TeV.00327057.physics_Main.daq.RAW._lb0107._SFO-3._0003.data,2017-06-18 00:53:32,2017-06-17 20:50:00,rucio-conveyor,https://fts3-test.gridpp.rl.ac.uk:8446,377bf26b-87c1-5ab5-8b9f-118a4ce6f82e,https://fts3-test.gridpp.rl.ac.uk:8449/fts3/ftsmon/#/job/377bf26b-87c1-5ab5-8b9f-118a4ce6f82e,2017-06-18 00:54:02
539,539,,Express,50033719,df1d7f2f,,PIC_DATADISK,DISK,srm://srmatlas.pic.es:8443/srm/managerv2?SFN=/pnfs/pic.es/data/atlas/atlasdatadisk/rucio/data16_13TeV/02/51/DAOD_STDM2.11507782._000001.pool.root.1,15,,DAOD_STDM2.11507782._000001.pool.root.1,,srm,,b0f1c8b2d9b04b93bfb603e76c86cf45,data16_13TeV,NET2_DATADISK,DISK,srm://atlas.bu.edu:8443/srm/v2/server?SFN=/gpfs1/atlasdatadisk/rucio/data16_13TeV/02/51/DAOD_STDM2.11507782._000001.pool.root.1,2017-06-18 01:04:03,2017-06-18 01:04:00,rucio-conveyor,https://fts3.cern.ch:8446,fe9691af-f6d6-5323-b104-664c9f43a35d,https://fts3.cern.ch:8449/fts3/ftsmon/#/job/fe9691af-f6d6-5323-b104-664c9f43a35d,2017-06-18 01:04:18
540,540,,T0 Export,2622010356,fdeb064c,,RAL-LCG2_DATATAPE,TAPE,srm://srm-atlas.gridpp.rl.ac.uk:8443/srm/managerv2?SFN=/castor/ads.rl.ac.uk/prod/atlas/raw/atlasdatatape/data17_13TeV/RAW/other/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW._lb0273._SFO-7._0001.1,166,,data17_13TeV.00327057.calibration_PixelBeam.merge.RAW._lb0273._SFO-7._0001.1,,srm,,ee2b6d7ea421471a84b17a861c2d7026,data17_13TeV,CERN-PROD_TZDISK,DISK,gsiftp://eosatlassftp.cern.ch:2811/eos/atlas/atlastier0/rucio/data17_13TeV/calibration_PixelBeam/00327057/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW._lb0273._SFO-7._0001.1,2017-06-18 00:45:22,2017-06-18 00:33:42,rucio-conveyor,https://fts3-test.gridpp.rl.ac.uk:8446,b6515885-b9fc-5f5c-ab3a-ee917647077d,https://fts3-test.gridpp.rl.ac.uk:8449/fts3/ftsmon/#/job/b6515885-b9fc-5f5c-ab3a-ee917647077d,2017-06-18 00:48:08
